Image Index,True Class,Confidence for Class 0,Confidence for Class 1,Confidence for Class 2,Confidence for Class 3,Confidence for Class 4,Confidence for Class 5,Confidence for Class 6,Confidence for Class 7,Confidence for Class 8,Confidence for Class 9
0,6,0.07902474,0.00012687207,0.0017977514,1.6222242e-05,0.008654454,0.0071912287,0.90038663,1.2947711e-06,0.002789854,1.0864148e-05
1,0,0.971311,2.1452926e-05,0.0059472746,0.0008052246,0.00013528415,0.004542745,0.00023368678,2.9594423e-05,0.0015965145,0.015377234
2,0,0.985615,0.00012128336,0.00032251276,4.2787586e-05,0.0016793254,0.0029811787,0.0021274425,2.0206403e-06,0.003067224,0.0040411307
3,3,1.51396125e-05,0.0007674702,0.0323311,0.9593805,1.8706688e-06,8.3950574e-05,2.1163519e-06,0.00077715,0.003916714,0.002724081
4,0,0.9881959,1.927459e-05,0.003569263,0.0001695141,8.6435626e-05,0.0020676958,0.0005029075,4.77232e-06,0.0011370219,0.0042472114
5,5,0.013675371,0.0013005411,0.0006518057,0.002361489,0.0003850731,0.8375775,0.00013533495,4.1267776e-05,0.016621344,0.12725033
6,0,0.837475,0.002796698,0.0003738491,2.8355667e-05,0.023441652,0.007384455,0.10160224,6.1910528e-06,0.023769993,0.0031216608
7,0,0.9950772,1.4063925e-05,0.0003197426,3.890102e-05,0.00014655323,0.001087497,0.0004845823,1.6391078e-06,0.00070287415,0.0021270553
8,4,0.005191756,0.0014655235,0.005417264,0.0009372644,0.8788473,0.0022190753,0.006240191,0.015419673,0.08370445,0.0005574848
9,1,2.105739e-05,0.98911345,0.0001611675,0.001057738,0.000260013,0.0008127085,0.000109816145,3.5671535e-05,0.0067340704,0.0016942193
10,2,0.0015734658,0.0037975956,0.9519597,0.0013227867,5.1138984e-05,0.0006125999,0.0019485545,1.5118299e-05,0.038518887,0.00020003648
11,8,0.0011751632,0.015394096,0.03529333,0.2157549,0.0016601669,0.002390541,0.000810381,0.0074157454,0.6532238,0.06688183
