Image Index,True Class,Confidence for Class 0,Confidence for Class 1,Confidence for Class 2,Confidence for Class 3,Confidence for Class 4,Confidence for Class 5,Confidence for Class 6,Confidence for Class 7,Confidence for Class 8,Confidence for Class 9
0,6,5.959046408101593e-07,1.2145676089964366e-06,1.465868800721616e-06,3.6022926665322858e-06,3.781111575398817e-06,2.4448390267475956e-05,0.9999345561024013,2.8610761982724446e-07,2.578458037172016e-05,4.265074047033442e-06
1,0,0.9999631090106664,6.896755360969983e-07,5.960775193501668e-07,4.5637844204823125e-06,8.572566651816206e-07,2.6430529884268554e-06,2.672945842152439e-07,3.438629499416018e-07,1.8528609315039587e-06,2.507712373842134e-05
2,0,0.9999815736007602,1.2827655156198517e-06,1.0662704304063301e-06,4.7666239361276463e-07,2.283746570727437e-06,3.3285116723915515e-06,8.504872345350378e-07,2.134648709274923e-07,1.8821962959660256e-06,7.042294255539078e-06
3,3,2.1729372641635913e-08,7.138512052002592e-07,2.9260088194325928e-06,0.9999832123742866,6.536253637916443e-07,3.8970889906101866e-07,6.666654551007113e-08,6.004121686602951e-07,1.3795244833379287e-06,1.003609885597176e-05
4,0,0.9999829251117056,6.519542608762038e-07,6.263461223554554e-07,1.8495917493033637e-06,8.764209005698706e-07,2.1099756035199963e-06,1.454524704875063e-07,3.0713619092682724e-07,3.890718076794729e-06,6.617292919841049e-06
5,5,1.6659428073379224e-07,1.3242530069021972e-05,4.360828280835584e-06,6.715415263444042e-06,5.425522061579594e-06,0.999549594162801,6.372763054156552e-07,2.4676553704910498e-06,9.484567048748737e-06,0.00040790544851854573
6,0,0.9999536303344774,7.683261724792654e-06,9.497129376299956e-07,2.978106385405733e-07,9.476904715665657e-06,3.940995086311839e-06,5.05582218348371e-06,4.1976083228514347e-07,1.622537085296275e-05,2.320026550916432e-06
7,0,0.9999866686966685,3.6258916314735626e-07,5.086334018218174e-07,1.2664388166174214e-06,1.8625731789999991e-06,1.21264485602124e-06,3.4256977783653166e-07,4.4838045469627855e-07,3.493666034061249e-06,3.833807648202911e-06
8,4,1.095799253023114e-06,4.5228639747441554e-05,3.742165154766816e-05,2.6751943458948744e-05,0.9989163165586247,1.929910785006688e-05,2.6772510685793035e-05,0.0007411320526064172,0.00011337632907482415,7.260540715112168e-05
9,1,5.417915621411367e-07,0.9994960635239921,6.48395132957628e-06,0.0001072623976665093,1.234076210883198e-05,1.0322743940128739e-05,5.006657744331959e-06,6.895312460796165e-06,0.0003285072025882216,2.657565660715675e-05
10,2,3.6657651462838526e-07,2.8665912046658006e-06,0.9993989215321177,0.00011231102100875908,1.224109870424053e-06,3.008748288186293e-06,1.611169151746754e-05,2.5803489851820313e-07,0.0004584772669302668,6.454427649281976e-06
11,8,7.913066818588882e-07,0.00015199102889912469,4.336333890313477e-05,0.0004302191147879196,2.137037876317939e-05,3.1983432161507625e-05,5.017677522389201e-06,2.1498246762020234e-05,0.998995373942091,0.00029839153342789843
12,4,3.6675805331638366e-07,0.00035239297399170953,6.558728718699131e-06,0.00010375237323129817,0.9988602470722013,2.3790493904524512e-05,0.00016821992214997714,2.6000672857023576e-05,0.00044795725633122184,1.071374856096933e-05
13,5,2.8091969854662654e-08,2.8182112551614727e-06,2.7486148995656365e-06,9.202328837978765e-06,4.522714017473437e-06,0.9999491616808541,4.2033586988598875e-07,4.361209387116724e-06,1.8719171773175417e-05,8.017641135823493e-06
14,9,1.4092484115315573e-05,0.000681164147312285,0.00019824280156258627,0.0005846948651736685,0.0004752138368456751,0.0009745323075106091,5.4563056580239814e-05,0.0012588422154467312,0.0019432146650898204,0.993815439620363
15,6,9.818141804881725e-07,1.4832171349088674e-05,5.025588277964401e-06,1.5007680134766383e-05,7.968867977898415e-06,2.9206289895714887e-05,0.9997860744542604,9.968570262332195e-06,0.00012614960131575266,4.7849623457434874e-06
16,3,8.406296382214989e-08,2.7730007602919864e-06,6.57112248704399e-06,0.9994212485269646,2.733099119316139e-06,1.7936615396948732e-06,4.891420621143627e-07,1.453125568008635e-06,2.247175313731006e-05,0.0005403825053977147
17,1,2.42771778579103e-06,0.9985305315689021,1.8030434479825773e-05,2.260576344626315e-05,0.00017650907603963822,5.826328969125532e-05,0.0005972175766249174,3.1141980305537225e-05,0.0004814008541937043,8.187173853074328e-05
18,8,4.052012185538557e-07,1.1786949165884824e-05,4.133785663219314e-06,2.7361873550923598e-05,8.442866531344812e-06,3.922334964775226e-06,1.7359015686626613e-06,8.534353317809275e-06,0.9999142547851059,1.9421948912863195e-05
19,8,6.5686051400239055e-06,0.0003526681127257642,0.0006327934427737703,0.00039021747475004206,0.0001407477092515522,0.0001031660683785279,2.4494499826777477e-05,3.918030325110731e-05,0.9974352122085101,0.0008749515753922639
20,4,4.687418653088803e-08,7.687922684441004e-06,5.005910060058831e-07,1.0621528556138466e-06,0.9999812328377627,5.090173079347513e-07,2.7974937138712984e-07,4.544072719362256e-06,2.917515591514088e-06,1.2192665145770122e-06
21,2,6.700381938053188e-07,6.628512641583443e-05,0.9983140134205493,0.0002531210379103918,2.185164393455229e-05,5.258846610752548e-05,2.4979017444112296e-06,4.936839349196869e-06,0.0011702638076315787,0.00011377171816335812
