Image Index,True Class,Confidence for Class 0,Confidence for Class 1,Confidence for Class 2,Confidence for Class 3,Confidence for Class 4,Confidence for Class 5,Confidence for Class 6,Confidence for Class 7,Confidence for Class 8,Confidence for Class 9
0,6,0.002458036482382851,4.433490153394083e-08,7.201786601065599e-08,3.0854473348492043e-09,1.7507671815443475e-06,7.206399545838589e-06,0.9972199137082487,3.10208274880805e-10,0.0003129717840693963,1.110148457121934e-09
1,0,0.9999604940327727,1.3277821284958071e-09,4.0923564494990383e-07,1.9321079349018076e-08,2.542254540613557e-07,2.5756108305412787e-05,1.6013406750972155e-08,4.686940274362859e-06,4.555331194560696e-07,7.907262161068317e-06
2,0,0.9999948480288887,1.0035717174913105e-07,3.500478519998102e-11,4.557753437003211e-13,5.001975455581064e-07,2.37439933189351e-06,1.923792663611469e-06,1.678388747904755e-08,9.90890456967327e-08,1.3731600475524406e-07
3,3,7.428277556779373e-13,6.698040734742359e-12,2.419367360779662e-07,0.9999996865482691,5.481563750686112e-15,3.0480624702579364e-09,7.758351731254585e-14,3.3864979185411877e-09,1.8491584963992022e-08,4.658132543564295e-08
4,0,0.9999550901530488,9.569838157032661e-10,4.136730801768654e-07,1.863142294469974e-08,2.7664849743120133e-09,6.949084296655633e-06,1.2513084058041761e-06,1.1141973478250009e-07,3.620517079416057e-06,3.254148946245553e-05
5,5,3.257427799509491e-09,2.1832376216539235e-10,8.088233761125578e-15,5.289265805878699e-10,1.9754453657072205e-12,0.9999942880942986,4.043214009122504e-15,7.556457616470786e-11,1.222398799464692e-12,5.70782224861388e-06
6,0,0.9862392998798252,6.694566472903091e-05,1.3885773635186133e-09,2.2058925173351694e-12,0.0005922395394624201,1.552186256171496e-05,0.012869301222603815,1.0002302544226393e-07,0.00021576136858853916,8.290484204959307e-07
7,0,0.9999831160363664,8.233007130210361e-10,4.092412207494802e-08,2.114159923922851e-09,1.7230338187783043e-08,1.353123939689303e-06,6.901776089108058e-06,3.9083797901387773e-07,6.443712849108507e-06,1.7334208560544037e-06
8,4,2.156522780725447e-08,2.73991030413287e-10,2.1395507607632327e-11,4.61180880171105e-15,0.9999948271560682,7.142936447133363e-11,9.6402301397267e-10,5.148943031654318e-06,1.0048278230295353e-09,7.772128296481628e-16
9,1,5.509118933367703e-08,0.9927573215575619,1.5261433008995852e-06,0.0002999524582944695,1.705242864685754e-05,1.3158991947121898e-05,6.659879059258467e-06,3.7814825351593867e-07,0.006852586605752381,5.130869599415672e-05
10,2,3.545290500720852e-08,7.113897429289214e-06,0.9992585156056504,0.00020419162897169997,1.8737261264449457e-10,0.0002369987939518789,7.463666303687722e-06,1.0765855883599539e-07,0.000285549582347102,2.3526509489135413e-08
11,8,6.305516474472845e-07,2.1094414371916457e-05,9.909867415627745e-06,0.016961030973928343,1.157463636867866e-06,6.0363381407521124e-05,4.7119837525858345e-06,3.731663037127703e-05,0.9814784592043082,0.0014253255291601663
12,4,1.8160745190775243e-08,0.0010382247469799186,3.7206999376114994e-07,2.0851173026395617e-07,0.98198585314908,1.3039832722750947e-07,0.012629704601220699,3.5181738201288814e-05,0.0043103065241373315,9.958422611125132e-11
13,5,1.649245631484701e-10,2.9682887129164988e-09,1.4507121283386198e-10,6.234821312230427e-08,1.1814796898043379e-09,0.9999998879370732,8.645738384061909e-12,3.6023446568506175e-08,5.198384212197064e-10,8.703018947465982e-09
14,9,7.637497045295174e-06,3.0551082887552453e-06,9.44144878001343e-09,4.557727432657087e-06,0.00010835518018198752,7.342707103036608e-05,2.677494665036631e-10,2.9327700974633728e-05,0.001312188041167207,0.9984614419646809
