Image Index,True Class,Confidence for Class 0,Confidence for Class 1,Confidence for Class 2,Confidence for Class 3,Confidence for Class 4,Confidence for Class 5,Confidence for Class 6,Confidence for Class 7,Confidence for Class 8,Confidence for Class 9
0,6,0.041156866,0.0056529255,0.0008296114,0.00014069345,0.010881372,0.015400192,0.9189633,0.00014960296,0.006485055,0.00034039005
1,0,0.99485224,3.0457513e-06,0.0011686297,3.9268838e-05,0.0008662467,0.0011791463,0.0002457052,9.961618e-06,7.317538e-05,0.0015625956
2,0,0.982599,0.0001045578,0.00013053684,1.3104879e-05,0.0068638534,0.001343012,0.008272459,2.6244312e-05,0.0003745897,0.00027260516
3,3,6.7114856e-06,0.00023473435,0.0012094958,0.9925961,1.3237149e-05,0.00037026373,5.606545e-06,0.0005828738,0.003322658,0.0016583966
4,0,0.98825574,6.3314224e-06,0.0018298029,0.000111718,0.00087821484,0.002221321,0.0018272152,2.9677003e-05,0.0006064192,0.0042335447
5,5,0.00022351665,0.00032688244,2.9582397e-05,0.00062294066,0.0009299881,0.99447095,0.0002616768,7.594089e-05,0.0012911331,0.0017674213
6,0,0.5092668,0.0034389521,0.0005276015,8.283435e-05,0.041336127,0.005174556,0.4319256,0.0001312837,0.007050453,0.0010658382
7,0,0.9954455,7.312813e-06,0.00027161287,2.9374114e-05,0.0007467019,0.0008044148,0.0018261123,1.4826146e-05,0.0003003904,0.0005537802
8,4,0.00086154137,0.01817411,0.00034420352,5.931014e-05,0.97527266,0.0003633197,0.0023632804,0.0012200305,0.0012675946,7.396846e-05
9,1,1.04992105e-05,0.9912834,0.00039046607,0.00044277264,0.0028322064,0.0009141759,6.26418e-05,0.00015071148,0.0035662332,0.00034694478
10,2,0.00018267572,0.021906791,0.80884725,0.008672014,0.0004470959,0.0020698374,0.0022722755,0.0006117383,0.15448454,0.0005057557
11,8,5.497917e-05,0.0028778114,0.00093581964,0.011926126,8.914152e-05,0.00422303,0.0005995426,0.0014154302,0.97413105,0.0037469699
12,4,0.002372621,0.16345984,0.0013085039,0.0019046067,0.64979607,0.008162982,0.1557673,0.0023320152,0.014521469,0.0003745899
13,5,8.129621e-05,0.002162698,6.968988e-05,0.0019379581,0.0014295836,0.99158466,0.000283212,0.0003018116,0.0013585772,0.00079042517
14,9,0.0003337381,0.048625257,0.0018011208,0.00465926,0.040036045,0.02113527,0.000357066,0.011833839,0.25361052,0.61760795
15,6,0.0011913228,0.0014368946,5.523979e-05,2.2491844e-05,0.021338021,0.0009099849,0.9737492,5.8586502e-05,0.0012038517,3.43773e-05
16,3,8.650908e-05,0.00022695844,0.006515855,0.92132014,4.9282076e-05,0.00046556172,0.00014708059,0.000634507,0.03204058,0.038513616
17,1,0.00013140637,0.901134,0.0016658773,0.00011487281,0.05402607,0.0010672555,0.012039102,0.0007401318,0.028774945,0.0003064213
18,8,2.4865229e-05,0.0028119334,0.00043295874,0.0005344986,0.00011915089,0.00038153218,0.00032170193,0.00033237474,0.9938053,0.0012356599
19,8,4.289296e-05,0.04837809,0.0029052806,0.00028178393,0.0010516003,0.00090001523,0.00021539618,0.0005213316,0.9440903,0.0016133621
20,4,0.00014243994,0.0010901546,6.3587545e-06,2.4437152e-06,0.997479,5.104725e-05,0.0010658975,0.00012714588,2.7400576e-05,8.209416e-06
21,2,1.6121792e-05,0.0021658419,0.977475,0.005767334,0.00013789101,0.00012347252,7.535706e-05,0.0005995159,0.0132709835,0.00036851017
22,3,6.978353e-05,0.0021318973,0.0016395721,0.9216154,0.00014528693,0.0087438505,0.00034336082,0.002511673,0.056191914,0.0066072615
23,8,0.009856528,0.007879823,0.0004450829,0.00046784442,0.02184583,0.020874748,0.05073616,0.0045831515,0.86034465,0.022966184
24,9,0.0022933637,0.0020598497,0.00021674928,0.0013807471,0.0023235925,0.031224104,0.005694955,0.00012931463,0.11102517,0.84365207
25,8,2.2365854e-05,0.0026054576,0.0020916718,0.0041611944,5.5351047e-05,0.00045623878,0.00042097634,0.0003193549,0.9887627,0.0011046471
26,8,4.366633e-05,0.015342524,0.013307582,0.0027859118,0.00077148306,0.0010750565,0.00014700988,0.001990088,0.9600663,0.0044702846
27,5,0.001145866,0.0055989726,0.0001739326,0.0020302113,0.0026688187,0.66823345,0.02081127,0.0012029973,0.29357287,0.0045615975
28,0,0.9784203,4.4700405e-06,0.00027920323,6.0227583e-05,0.0015836627,0.014550681,0.0004935323,3.030409e-05,0.00042278453,0.00415474
29,6,0.0010853907,0.0003445516,4.6629393e-05,3.5848818e-05,0.001824117,0.0011102604,0.9938548,3.1602216e-05,0.0016081823,5.8607242e-05
30,3,1.8609322e-05,0.00018593064,0.018413411,0.97072405,5.157964e-05,0.00036837166,2.5915499e-05,0.000998075,0.002575161,0.0066388743
31,3,5.2824457e-06,0.00019248034,0.002250809,0.992071,1.3067607e-05,0.00016337792,3.9165793e-06,0.00039943316,0.0021320356,0.0027686746
32,7,9.743686e-05,0.0016806109,0.00016821809,0.00135282,0.0018726458,0.00061737705,6.687534e-05,0.9889966,0.004304225,0.00084310496
33,1,5.897141e-06,0.9833708,0.0024898115,4.3982665e-05,0.0063031674,6.981879e-05,0.00021617295,0.0005473164,0.006915275,3.7791604e-05
34,6,0.0049599987,0.0007804541,7.495873e-05,0.0002053911,0.0034154078,0.033194505,0.93790317,0.00013508766,0.01904906,0.000282079
35,4,0.00030222582,0.001341311,4.0058812e-06,6.5369177e-06,0.99613345,0.00035881225,0.0010680959,0.00016079622,0.0003622635,0.00026258914
36,1,0.0001537516,0.94437855,0.002551064,0.00016242484,0.014641935,0.014518158,0.0061285426,0.00012206558,0.016735125,0.0006083656
37,2,5.042541e-06,0.0037884954,0.97882766,0.0019934336,0.00010394831,2.9878358e-05,3.4938934e-05,0.0005961228,0.0145020615,0.000118392294
38,1,1.8057965e-05,0.98431706,0.00019485237,0.00020466678,0.0082817,0.0011732671,6.750192e-05,0.00029362013,0.0040229573,0.0014262397
39,1,8.6308e-05,0.89078295,0.004771816,7.232503e-05,0.023201061,0.00015977432,0.00058027543,0.0020493418,0.07784222,0.00045400712
40,6,0.007494205,0.0037714366,0.00014473076,0.0005979015,0.007979905,0.15873821,0.7408145,0.00051976595,0.07785404,0.0020852135
41,4,0.006783984,0.035271212,0.00026514023,7.326112e-05,0.7444507,0.0036295694,0.20709503,0.0001343939,0.0022449044,5.1807918e-05
42,7,0.00052978034,0.023934804,0.0003581512,0.016342087,0.044140317,0.0104567,0.0015307365,0.8333157,0.060330536,0.009061287
43,4,0.001206281,0.00048418497,8.108498e-06,5.641093e-06,0.9922134,0.00024451513,0.0056498293,0.00010780064,6.159218e-05,1.853245e-05
44,8,9.474428e-05,0.0066134534,0.0005834663,0.00039168602,0.00049614575,0.002847302,0.0005564756,0.00027044033,0.98594797,0.002198305
45,3,4.4117946e-06,8.765677e-05,0.0012469926,0.9956144,8.674147e-06,0.0002972378,6.966604e-06,0.00020674216,0.0010368694,0.0014899953
