Image Index,True Class,Confidence for Class 0,Confidence for Class 1,Confidence for Class 2,Confidence for Class 3,Confidence for Class 4,Confidence for Class 5,Confidence for Class 6,Confidence for Class 7,Confidence for Class 8,Confidence for Class 9
0,6,0.00038419332,6.680011e-05,0.00019753318,7.7704615e-05,0.00033554374,0.00024242904,0.99839526,2.566547e-05,0.00022113977,5.3657386e-05
1,0,0.9979291,2.2812093e-05,8.1187085e-05,0.00033511978,0.00015727799,0.00014170843,0.00011193576,6.516428e-05,7.4316034e-05,0.0010814205
2,0,0.99919575,2.1958544e-05,6.1150764e-05,2.6211676e-05,0.00029177603,7.1476745e-05,0.000117750635,3.4631037e-05,5.0233128e-05,0.0001291027
3,3,7.730189e-06,4.5462252e-06,2.4024064e-05,0.999877,3.4948423e-06,8.159227e-06,5.8192823e-06,1.1133788e-05,2.8353465e-05,2.9714856e-05
4,0,0.99935156,1.0011118e-05,5.496598e-05,7.5331336e-05,4.2351738e-05,8.920124e-05,8.79207e-05,3.197984e-05,6.1163104e-05,0.0001954632
5,5,3.325989e-05,2.5408024e-05,2.5054123e-05,3.2272274e-05,2.6481059e-05,0.9992914,2.9851015e-05,7.080889e-05,5.060203e-05,0.00041477146
6,0,0.99543285,0.0003016247,6.551877e-05,3.8851955e-05,0.0032088023,8.645591e-05,0.00042664053,4.2113916e-05,0.00024012646,0.00015702362
7,0,0.99943644,1.0443038e-05,2.9861725e-05,6.888784e-05,5.236814e-05,5.4779324e-05,0.00018003292,4.2231874e-05,3.743264e-05,8.752066e-05
8,4,0.0002850546,0.00014519866,0.0002390937,0.000105760686,0.99693054,0.00011117501,0.0006975514,0.0009992752,0.00033675102,0.00014964884
9,1,9.2021764e-05,0.99693215,6.847e-05,0.00025363915,0.00015377977,8.20025e-05,0.00020999568,5.6248504e-05,0.0019044155,0.00024731224
10,2,0.00013903901,0.0004001676,0.9960096,0.0006249057,9.629353e-05,0.00021319183,0.001022087,8.094535e-05,0.0013293957,8.437776e-05
11,8,0.00022718322,0.00037623654,0.0005117778,0.0026884798,0.0004617539,0.00084216794,0.00020726537,0.0006231868,0.992669,0.0013929665
12,4,0.0002608361,0.0041142553,0.0002589398,0.0005801667,0.98544806,0.0007907555,0.0028319028,0.0036512886,0.0016909096,0.0003728248
13,5,1.6076763e-05,5.3317508e-05,3.8855695e-05,4.9513023e-05,4.387046e-05,0.9995757,2.4328632e-05,9.292081e-05,3.999883e-05,6.541487e-05
14,9,0.00026987924,0.0001496816,0.0002512384,0.000327344,0.0005910898,0.0010246866,0.00020316492,0.0006451896,0.0011305598,0.9954072
15,6,4.5514582e-05,6.7831796e-05,5.208155e-05,3.308179e-05,0.00029238613,4.0188817e-05,0.9993591,2.5717873e-05,7.314207e-05,1.1041189e-05
16,3,3.8279944e-05,2.8990666e-05,0.00019874277,0.99396175,3.694796e-05,3.638617e-05,5.719066e-05,9.836285e-05,9.342589e-05,0.0054498636
17,1,0.0002575825,0.99200034,0.00029358797,7.7274446e-05,0.0023732733,0.00027968446,0.003281908,0.00029723858,0.0009516806,0.0001874015
18,8,3.636717e-05,1.8582898e-05,1.3557602e-05,3.748872e-05,1.8668228e-05,1.8598039e-05,3.172891e-05,2.7047652e-05,0.9997346,6.3396204e-05
19,8,0.00010430225,6.2049025e-05,0.00022186327,0.00018178616,0.00011151635,0.00011112715,9.8127275e-05,9.5597905e-05,0.99870765,0.0003059658
20,4,3.1456504e-05,7.680061e-05,1.8859391e-05,1.1610327e-05,0.99962854,2.1733415e-05,5.6557325e-05,7.3719646e-05,3.1824027e-05,4.8834012e-05
21,2,7.2301526e-05,0.00010437396,0.99808085,0.00036616332,6.182106e-05,0.0003042133,0.00017061629,6.256417e-05,0.0006185406,0.00015854623
22,3,3.076231e-05,4.094245e-05,4.9182978e-05,0.9991448,3.421712e-05,0.00016928051,3.7407837e-05,6.1308056e-05,0.00017358102,0.00025856076
23,8,0.0006190131,0.00036297043,0.0008175489,0.00042037762,0.00083153334,0.0003162716,0.0015219031,0.00037906852,0.99357504,0.0011562966
24,9,7.029153e-05,6.73746e-05,3.2936463e-05,0.00027823992,5.9090726e-05,0.00028738615,9.6186224e-05,5.2022056e-05,0.00013235233,0.9989241
25,8,6.398117e-05,5.6680172e-05,5.3537144e-05,0.0002396736,3.2470027e-05,4.319763e-05,0.0001756869,3.770726e-05,0.9990864,0.00021073462
26,8,8.926273e-05,0.00012255089,0.00021067975,0.00023221986,0.00028628382,0.00017641387,8.290262e-05,8.521531e-05,0.9979997,0.0007146779
27,5,0.0001116529,9.9708894e-05,7.667084e-05,0.0001094782,9.4297124e-05,0.9955166,0.0016518045,0.00015701664,0.002096795,8.601495e-05
28,0,0.99818355,1.4288087e-05,5.358771e-05,0.00014167308,0.00010130327,0.00029851595,7.8459954e-05,0.00038555622,0.00011954487,0.0006235078
29,6,6.8207046e-05,3.558569e-05,0.000108367174,6.555199e-05,5.6932895e-05,0.00043470546,0.99900156,2.481206e-05,0.00016363438,4.0687562e-05
30,3,2.8732567e-05,3.243266e-05,0.00021809641,0.9987078,3.3729553e-05,2.5593956e-05,0.00010560644,4.1099567e-05,0.000116022056,0.0006908728
31,3,1.9028854e-05,1.00885645e-05,0.00018938795,0.99918634,8.338634e-06,2.447822e-05,2.5236823e-05,5.2256517e-05,7.4347736e-05,0.00041046154
32,7,8.3448365e-05,4.7593494e-05,0.00025701185,0.00020717703,0.00013342885,0.00014742406,8.878348e-05,0.9988825,9.630125e-05,5.63522e-05
33,1,2.4487234e-05,0.9993674,4.8917304e-05,2.0073345e-05,8.2558545e-05,5.4763525e-05,8.89719e-05,5.628914e-05,0.00023615565,2.0419731e-05
34,6,0.0013391073,4.989718e-05,7.8425204e-05,0.00014962068,0.00059542217,0.00035549552,0.99543864,5.9628786e-05,0.001865674,6.809685e-05
35,4,3.4746517e-05,2.7276548e-05,1.179748e-05,1.2954648e-05,0.99958724,5.3344622e-05,8.066559e-05,5.378347e-05,3.4252676e-05,0.000103924554
36,1,0.00011914982,0.99082583,0.004215877,6.236319e-05,0.0010273781,0.003003367,0.00019875157,5.511894e-05,0.00027181252,0.00022028977
37,2,8.443977e-06,1.1376296e-05,0.9998486,4.1055617e-05,5.357091e-06,7.705101e-06,1.0201489e-05,6.4439278e-06,5.326868e-05,7.5057537e-06
38,1,2.8081122e-05,0.9984805,9.534378e-06,2.1279788e-05,0.00013386997,3.8321192e-05,3.2657255e-05,2.084944e-05,6.1879095e-05,0.0011730334
39,1,5.654954e-05,0.9979413,0.00023638495,2.573091e-05,0.00021404005,6.30169e-05,8.071692e-05,0.0001712211,0.0011155658,9.540974e-05
40,6,9.9902274e-05,7.784628e-05,4.4030403e-05,5.699626e-05,0.00010205538,0.0013192547,0.9974968,4.1624065e-05,0.00068816444,7.3336254e-05
41,4,0.0015085987,0.001171748,0.001292951,0.0002820029,0.9741876,0.0021507659,0.017068924,0.00046902624,0.0015441847,0.00032420902
42,7,0.00014618268,0.00012730305,6.970225e-05,0.0015245468,0.0013035061,0.00015288914,0.00019736176,0.9953774,0.0002864977,0.00081458915
43,4,0.00024766973,0.0003700379,4.7000372e-05,5.5389373e-05,0.9978612,0.00011114516,0.00051946467,0.00019364918,0.0002531316,0.0003412579
44,8,0.0002482193,9.6535325e-05,0.0002931401,0.00029751085,0.0007579071,0.00033393563,0.00027501717,0.00014084142,0.99700814,0.00054877135
45,3,6.5512518e-06,7.702539e-06,7.603866e-05,0.9998165,2.8708241e-06,6.5661006e-06,1.0603149e-05,1.0301673e-05,3.9924762e-05,2.294108e-05
46,4,9.058481e-05,3.8517934e-05,1.610104e-05,5.2341907e-06,0.99965394,1.8881736e-05,0.00011009445,2.4179744e-05,2.5676563e-05,1.6801052e-05
